,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
skill_home[2811],-0.336658,0.46724,1.02565,-1.91844,-0.402537,1.39903,4.81852,0.000315235,1.72713
skill_home[2812],0.0490937,0.465727,1.00207,-1.48386,-0.0206783,1.73509,4.6295,0.000302869,1.80915
skill_home[2813],-0.147474,0.466379,1.01266,-1.70726,-0.214699,1.55538,4.71468,0.000308442,1.77097
skill_home[2814],0.0480836,0.464899,1.00198,-1.49386,-0.0200442,1.73428,4.64512,0.000303891,1.80278
skill_home[2815],-0.149338,0.468414,1.04279,-1.76332,-0.211355,1.60715,4.95607,0.000324234,1.68167
skill_home[2816],-0.261729,0.466817,1.00686,-1.80618,-0.333597,1.43509,4.65204,0.000304344,1.79886
skill_home[2817],0.0455663,0.466543,1.02363,-1.53958,-0.0221174,1.77247,4.814,0.000314939,1.72955
skill_home[2818],-0.149609,0.467338,1.01358,-1.71378,-0.213092,1.54448,4.70387,0.000307735,1.77684
skill_home[2819],0.0428447,0.465888,1.02354,-1.536,-0.0221604,1.76427,4.82667,0.000315768,1.72705
skill_home[2820],-0.145933,0.467116,1.01443,-1.7195,-0.206179,1.5603,4.71624,0.000308544,1.76904
skill_home[2821],0.154104,0.46458,1.01328,-1.41369,0.0865533,1.86308,4.75702,0.000311212,1.75447
skill_home[2822],-0.442866,0.467506,1.01755,-2.01712,-0.504375,1.2685,4.73735,0.000309925,1.75773
skill_home[2823],0.272858,0.46747,1.01042,-1.27213,0.202481,1.97137,4.67197,0.000305648,1.79169
skill_home[2824],0.0475523,0.466141,1.02248,-1.53213,-0.0145231,1.76354,4.81147,0.000314774,1.73221
skill_home[2825],-0.0321931,0.466247,1.00657,-1.57526,-0.101239,1.65829,4.66075,0.000304914,1.79434
skill_home[2826],0.046103,0.467785,1.02688,-1.54051,-0.0160167,1.77953,4.8189,0.00031526,1.73161
skill_home[2827],-0.147798,0.466,1.01087,-1.70639,-0.211724,1.55131,4.70561,0.000307848,1.77497
skill_home[2828],-0.143984,0.465953,1.0119,-1.70275,-0.211566,1.56544,4.71618,0.00030854,1.7724
skill_home[2829],-0.148596,0.467773,1.04285,-1.77496,-0.210084,1.60813,4.97018,0.000325157,1.67589
skill_home[2830],0.220399,0.465034,1.00857,-1.33424,0.15954,1.92038,4.70373,0.000307726,1.77915
skill_home[2831],0.149833,0.46738,1.01763,-1.4174,0.0849969,1.86281,4.74066,0.000310141,1.75932
skill_home[2832],-0.144262,0.466851,1.01356,-1.7001,-0.21054,1.55934,4.71353,0.000308367,1.77054
skill_home[2833],0.273555,0.465846,1.0109,-1.28843,0.209657,1.97201,4.70905,0.000308073,1.77573
skill_home[2834],-0.148433,0.464989,0.999088,-1.68765,-0.218622,1.52203,4.61661,0.000302026,1.81824
skill_home[2835],0.10583,0.464656,0.998559,-1.42329,0.032589,1.78639,4.61833,0.000302139,1.81728
skill_home[2836],-0.262757,0.466601,1.00653,-1.81101,-0.330562,1.43344,4.65334,0.000304429,1.79445
skill_home[2837],-0.144849,0.466306,1.0395,-1.75665,-0.204857,1.61188,4.96948,0.000325111,1.67632
skill_home[2838],-0.336948,0.465665,1.02517,-1.93436,-0.396952,1.38844,4.84665,0.000317075,1.72209
skill_home[2839],-0.443554,0.465511,1.01251,-2.00721,-0.512954,1.26742,4.73087,0.000309501,1.76303
skill_home[2840],-0.337805,0.464747,0.992143,-1.85311,-0.416831,1.34287,4.55738,0.000298151,1.8434
skill_home[2841],-0.443144,0.465869,1.01518,-2.00867,-0.508479,1.26616,4.74851,0.000310655,1.75624
skill_home[2842],0.315559,0.466287,1.00959,-1.24271,0.246489,2.00886,4.68792,0.000306691,1.78607
skill_home[2843],-0.144703,0.469505,1.04429,-1.77086,-0.203497,1.60284,4.94719,0.000323653,1.68496
skill_home[2844],0.0429364,0.466425,1.02318,-1.54819,-0.0141954,1.76323,4.81219,0.000314821,1.73025
skill_home[2845],-0.339933,0.467126,1.02629,-1.93511,-0.409417,1.38823,4.82697,0.000315788,1.72564
skill_home[2846],-0.147666,0.466333,1.04069,-1.75879,-0.206989,1.60229,4.98026,0.000325816,1.67642
skill_home[2847],0.14922,0.468658,1.02165,-1.43181,0.0831998,1.8634,4.75216,0.000310894,1.75465
skill_home[2848],-0.263509,0.466336,1.00743,-1.81141,-0.329389,1.43407,4.6669,0.000305316,1.79195
skill_home[2849],-0.146733,0.464618,0.998631,-1.68646,-0.214195,1.52604,4.61975,0.000302232,1.81416
skill_home[2850],0.0422792,0.467059,1.02637,-1.5383,-0.0241268,1.7694,4.8291,0.000315927,1.72197
skill_home[2851],-0.0678581,0.465385,0.998132,-1.59829,-0.136079,1.61012,4.59993,0.000300935,1.82237
skill_home[2852],-0.14659,0.466475,1.01374,-1.71132,-0.215681,1.55752,4.72275,0.00030897,1.7659
skill_home[2853],-0.262976,0.465321,1.00714,-1.81175,-0.338266,1.42918,4.68463,0.000306476,1.78242
skill_home[2854],-0.145026,0.466536,1.01246,-1.70336,-0.215139,1.55652,4.7096,0.000308109,1.77244
skill_home[2855],-0.147182,0.467364,1.01307,-1.71247,-0.222491,1.56136,4.69856,0.000307387,1.77631
skill_home[2856],-0.148775,0.467812,1.0431,-1.7735,-0.20621,1.60252,4.97172,0.000325258,1.67949
skill_home[2857],-0.337748,0.466129,1.02371,-1.91605,-0.401031,1.38997,4.82325,0.000315544,1.72723
skill_home[2858],0.0422101,0.465332,1.02364,-1.54859,-0.0208135,1.76483,4.83917,0.000316586,1.72556
skill_home[2859],-0.148586,0.467225,1.04117,-1.76364,-0.204979,1.59546,4.96586,0.000324875,1.67688
skill_home[2860],0.149147,0.468457,1.02029,-1.42308,0.081284,1.87155,4.74361,0.000310334,1.75962
skill_home[2861],-0.336396,0.466303,1.02556,-1.92612,-0.397597,1.38722,4.8371,0.000316451,1.72202
skill_home[2862],-0.34178,0.466641,1.00193,-1.87787,-0.415478,1.34231,4.61013,0.000301602,1.81349
skill_home[2863],0.149112,0.466606,1.01673,-1.4223,0.0880337,1.86316,4.74796,0.000310619,1.76099
skill_home[2864],-0.0314602,0.466765,1.00997,-1.58796,-0.0990262,1.66842,4.68186,0.000306295,1.7888
skill_home[2865],0.0450927,0.467456,1.02672,-1.55085,-0.0190472,1.77625,4.82418,0.000315605,1.72819
skill_home[2866],0.0468484,0.466776,1.00285,-1.49104,-0.0211334,1.73623,4.61587,0.000301977,1.81212
skill_home[2867],-0.146866,0.465332,1.00016,-1.68004,-0.22005,1.53394,4.61971,0.000302228,1.81245
